Check,URL,Item,Item_JP
OK,(General),Place files in /XX_module_a/ with task ID as folder name (e.g. /XX_module_a/A1/),ファイルを /XX_module_a/ にtask IDのフォルダ名で配置する（例: /XX_module_a/A1/）
OK,(General),Create an index page linking to each mini speed test project,各mini speed test projectへのリンクを持つindexページを作成する
OK,(General),Index page should contain thumbnail and title of each mini speed test project,indexページには各mini speed test projectのサムネイルとタイトルを含む
Skip,(General),Write at least one git commit for each mini speed test project,各mini speed test projectにつき少なくとも1つのgit commitを書く
Skip,(General),Git commit messages should be readable and easy to understand,git commitメッセージは読みやすく理解しやすいものにする
OK,(General),Each mini Test Project folder should be separated and self-contained,各mini Test Projectフォルダは分離され自己完結していること
OK,(General),Do not include unrelated folders or mini Test Projects,関連のないフォルダやmini Test Projectsを含めないこと
Skip,A1: Magnifying Dock (L1),A glow effect is added that moves around the boxes with the cursor,カーソルと共にボックス周囲を移動するglow effectを追加
Skip,A1: Magnifying Dock (L1),The magnifying effect is at its maximum at the center of the box,拡大エフェクトはボックスの中心で最大
Skip,A1: Magnifying Dock (L1),"Objects closer to the cursor are magnified, those further away appear smaller",カーソルに近いオブジェクトは拡大され、遠いものは小さく表示される
Skip,A1: Magnifying Dock (L1),"Magnification gradually reduces from one box to another, with more than one box magnified at a time",拡大は1つのボックスから別のボックスへ徐々に減少し、複数のボックスが同時に拡大される
Skip,A1: Magnifying Dock (L1),Mouse movement leads to a smooth transition in the magnifying effect,マウス移動が拡大エフェクトのスムーズなトランジションにつながる
Skip,A2: Neobrutalism Button (L1),Button implemented using only HTML and CSS,HTMLとCSSのみでボタンを実装
Skip,A2: Neobrutalism Button (L1),Hover effect implemented,ホバーエフェクトを実装
Skip,A2: Neobrutalism Button (L1),Active button effect implemented,アクティブボタンエフェクトを実装
Skip,A2: Neobrutalism Button (L1),"When releasing the click, button returns to the main position",クリックを離すとボタンが元の位置に戻る
Skip,A3: Animated Link (L1),Implemented link hover animation,リンクのホバーアニメーションを実装
Skip,A3: Animated Link (L1),Implemented active link animation,リンクのアクティブアニメーションを実装
Skip,A3: Animated Link (L1),Implemented the animations without using JavaScript,JavaScriptを使用せずにアニメーションを実装
Skip,A4: Jumping Ball (L2),Recreated the balls alike the provided design,提供されたデザインと同様のボールを再現
Skip,A4: Jumping Ball (L2),Implemented the jump animation,ジャンプアニメーションを実装
Skip,A4: Jumping Ball (L2),The animation has motion and shadow effects that follow the provided video,アニメーションに提供されたビデオに従ったモーションとシャドウエフェクトがある
Skip,A4: Jumping Ball (L2),The animation is happening in a coordinated way,アニメーションが協調的に動作している
Skip,A5: Olympic Rings (L2),The Olympics logo circles were created,オリンピックロゴの円が作成された
Skip,A5: Olympic Rings (L2),Circle overlay is similar to the provided media files,円のオーバーレイが提供されたメディアファイルと類似
OK,A6: Loading Animation (L1),The loading animation has been created,ローディングアニメーションが作成された
OK,A6: Loading Animation (L1),The loading animation follows the provided media files,ローディングアニメーションが提供されたメディアファイルに従っている
OK,A6: Loading Animation (L1),The loading animation is displayed only while the page is loading,ローディングアニメーションはページのローディング中のみ表示される
Skip,A7: Custom Cursor (L2),The hover element has been created,ホバー要素が作成された
Skip,A7: Custom Cursor (L2),The hover element follows the shape shown in provided media files,ホバー要素が提供されたメディアファイルで示された形状に従っている
Skip,A7: Custom Cursor (L2),The hover element replicates the effect provided in media files,ホバー要素がメディアファイルで提供されたエフェクトを再現
Skip,A8: Glassmorphism Card (L2),"The inputs have been implemented (Transparency (range), Blur (range), Color (color), Outline (range)) (decrease 0.15 for each input not working)","インプットが実装されている（Transparency (range), Blur (range), Color (color), Outline (range)）（動作しないインプットごとに0.15減点）"
Skip,A8: Glassmorphism Card (L2),The card changes according to the inputs value change,カードがインプット値の変更に応じて変化する
Skip,A8: Glassmorphism Card (L2),The provided CSS code follows the same implemented in the page,提供されるCSSコードがページに実装されたものと同じ
Skip,A9: Holy Grail Layout (L1),"Header, fixed-width left nav, content in middle, fixed-width right sidebar, footer layout implemented","Header、固定幅左ナビ、中央コンテンツ、固定幅右サイドバー、footerレイアウトを実装"
Skip,A9: Holy Grail Layout (L1),Desktop and Mobile layouts match reference images,デスクトップとモバイルレイアウトがリファレンス画像と一致
Skip,A10: Background Pattern (L1),Stripes background pattern with 240px width and 240px height created,240px幅と240px高さのストライプ背景パターンを作成
Skip,A11: Colorful Button (L3),"Four color bars appear on hover, moving in from top to bottom left to right. CSS only, no HTML modification",ホバー時に4つのカラーバーが上から下へ左から右へ移動して表示。CSSのみ、HTML変更なし
Skip,A11: Colorful Button (L3),"Four arcs appear from corresponding corners, growing in size on hover",ホバー時に対応するコーナーから4つのアークが出現し、サイズが拡大
